Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-03-08 18:35:08,Card Cashback,CRO,2.05763541,,,EUR,0.75,0.8325225975,referral_card_cashback,
2022-03-08 08:41:24,From +436645846008,CRO,17.0,,,EUR,5.97012065640536775811017532743162,6.6270138083453357052328464730317137147106,crypto_transfer,
2022-03-07 16:27:00,Card Cashback,CRO,0.37407007,,,EUR,0.14,0.1554042182,referral_card_cashback,
2022-03-07 07:20:26,Card Cashback,CRO,12.76754935,,,EUR,4.56,5.0617373928,referral_card_cashback,
2022-03-07 06:17:40,CRO -> EUR,CRO,-100.0,EUR,34.84,EUR,34.84,38.6734497292,crypto_viban_exchange,
2022-03-07 01:20:02,CRO Stake Rewards,CRO,144.85512329,,,EUR,51.04827575219114066096332756432418,56.6651241694805796527374084214593528875434,mco_stake_reward,
2022-03-07 01:20:01,Crypto Earn (Extra),CRO,0.16663351,,,EUR,0.05872317923478466123115637060546,0.0651844982800013180284264661135069425098,crypto_earn_extra_interest_paid,
2022-03-07 01:20:01,Crypto Earn,DOT,0.01997614,,,EUR,0.302617818218373787792742933,0.33591489609725782405217085097457129,crypto_earn_interest_paid,
2022-03-07 01:20:00,Crypto Earn (Extra),CRO,0.15997643,,,EUR,0.0563771631062142417963817778382,0.062580349691822198629089098383368264966,crypto_earn_extra_interest_paid,
2022-03-07 01:20:00,Crypto Earn,DOT,0.0239726,,,EUR,0.363160045385233957373161643,0.40311859238977714978334507709030359,crypto_earn_interest_paid,
2022-03-05 17:37:49,Card Cashback,CRO,1.8616773,,,EUR,0.7,0.777021091,referral_card_cashback,
2022-03-04 04:49:32,CRO -> EUR,CRO,-150.0,EUR,55.98,EUR,55.98,62.1394866774,crypto_viban_exchange,
2022-03-03 23:14:57,Card Cashback,CRO,1.61239885,,,EUR,0.63,0.6993189819,referral_card_cashback,
2022-03-03 05:07:48,Card Cashback,CRO,25.50422703,,,EUR,10.07,11.1780034091,referral_card_cashback,
2022-03-03 05:03:11,Card Cashback,CRO,3.5692074,,,EUR,1.41,1.5651424833,referral_card_cashback,
2022-03-03 04:53:10,Card Cashback,CRO,2.31706971,,,EUR,0.91,1.0101274183,referral_card_cashback,
2022-03-03 00:15:55,Crypto Earn (Extra),CRO,0.34457354,,,EUR,0.1358244767191357718688495949071,0.150769261549724254335229458785175550923,crypto_earn_extra_interest_paid,
2022-03-03 00:15:54,Crypto Earn,MATIC,0.57534247,,,EUR,0.831163665455411512956569324,0.92261671161674695093067733107373212,crypto_earn_interest_paid,
2022-03-02 18:51:19,Card Cashback,CRO,0.15793315,,,EUR,0.06,0.0666018078,referral_card_cashback,
2022-03-02 03:21:18,Card Cashback,CRO,0.67987942,,,EUR,0.27,0.2997081351,referral_card_cashback,
2022-03-02 03:21:18,Card Rebate: Netflix,CRO,31.7050435,,,EUR,12.62,14.0085802406,reimbursement,
2022-03-01 11:33:21,Card Cashback,CRO,1.96177289,,,EUR,0.77,0.8547232001,referral_card_cashback,
2022-03-01 08:20:41,Card Cashback,CRO,3.25911374,,,EUR,1.29,1.4319388677,referral_card_cashback,
2022-03-01 08:20:36,Card Cashback,CRO,1.94614942,,,EUR,0.77,0.8547232001,referral_card_cashback,
2022-03-01 05:10:08,CRO -> EUR,CRO,-16.0,EUR,6.28,EUR,6.28,6.9709892164,crypto_viban_exchange,
2022-03-01 00:15:58,Card Cashback,CRO,1.26043422,,,EUR,0.5,0.555015065,referral_card_cashback,
